Dragons,Categrory,Name,Summary,Parents,Form,Home,Slain By,Symbols,Sacred plants,God of ,Dragon Information
COLCHIAN DRACON,DRACONES MYTHICAL,THE COLCHIAN DRAGON,COLCHIAN DRACON (Drakon Kholkikos) An unsleeping dragon which guarded the Golden Fleece in the sacred grove of Ares at Colchis. The creature was bewitched by Medea so that the hero Jason could steal its treasure.,Typhoeus and Gaea,Giant serpent,Colchis,Jason and Medea,null,null,null,"THE DRAKON KHOLKIKOS (Colchian Dragon) was a giant, watchful serpent which guarded the Golden Fleece in the sacred grove of Ares in Kolkhis (Colchis). When Jason and the Argonauts came to fetch the fleece, the beast was either slain by the hero or put to sleep by the witch Medea. In one version of the story--preserved only in vase painting (see image right)--Jason was first devoured and disgorged by the dragon."
PITANIAN DRACON,DRACONES MYTHICAL,null,PITANIAN DRACON (Drakon Pitanios) A dragon of Pitane in Aeolia (Asia Minor) which was turned to stone by the gods.,null,null,null,null,null,null,null,"THE DRAKON PITANIOS (Pitanean Dragon) was a giant serpent turned to stone by the gods in the region of Pitane in Aiolia, Anatolia. There was no doubt some local legend about the creature which described this metamorphosis."
NEMEAN DRACON,DRACONES MYTHICAL,THE NEMEAN DRAGON,"NEMEAN DRACON (Drakon Nemeios) A giant dragon or serpent which guarded the sacred groves of Zeus at Nemea. It was destroyed by the warriors of the Seven Against Thebes after devouring the infant Opheltes, son of a local king.",Gaea,Monstrous serpent,Nemea in Argolis,Adrastus and Capaneus,null,null,null,FAMILY OF THE DRAGON
SCYLLA,DRACAENAE,THE MONSTER SCYLLA,"SCYLLA (Skylla) A she-dragon which haunted the Straits of Messina, snatching and devouring sailors from passing ships. She was a nymph with the tail of a sea-monster in place of legs.",Crataeis,"Upper body of woman, tail of fish, circle of six dog-heads",Straits of Messina,null,null,null,null,"SKYLLA (Scylla) was a sea-monster who haunted the rocks of a narrow strait opposite the whirlpool of Kharybdis (Charybdis). Ships who sailed too close to her rocks would lose six men to her ravenous, darting heads."
MEDEA'S DRACONES,DRACONES MYTHICAL,null,MEDEA'S DRACONES Two flying dragons born from the blood of the vanquished Titans. They were yoked to draw the chariot of the witch Medea.,null,null,null,null,null,null,null,"THE DRAKONES OF MEDEA were a pair of serpents which drew the flying chariot of the witch Medea. She summoned them to carry her away from Korinthos (Corinth) following the murder of King Kreon (Creon), his daughter Glauke (Glauce) and her children by Iason (Jason)."
ECHIDNA,DRACAENAE,THE DRACAENA ECHIDNA,ECHIDNA (Ekhidna) The she-dragon wife of the serpent-giantTyphoeus. Echidna spawned most of the dragons and monsters of myth.,Phorcys and Ceto,"Woman's upper body, serpent's tail",Land of the Arimaspians,Possibly Apollo,null,null,null,"EKHIDNA (Echidna) was a monstrous she-dragon (drakaina) with the head and breast of a woman and the tail of a coiling serpent. She probably represented the corruptions of the earth--rot, slime, fetid waters, illness and disease."
THESPIAN DRACON,DRACONES MYTHICAL,THE THESPIAN DRAGON,"THESPIAN DRACON (Drakon Thespiakos) A dragon which plagued the Boeotian town of Thespaie. It was slain by the hero Menestratus, who threw himself into the creatures maw wrapped in spiked armour.",null,Giant serpent,Thespiae in Boeotia,Menestratus,null,null,null,THE DRAKON THESPIAKOS (Thespian Dragon) was a monstrous serpent which ravaged the land of Thespiai (Thespiae) in Boiotia (Central Greece). It was destroyed through the sacrifice of the hero Menestratos who leapt between the jaws of the beast wearing a spiked breastplate.
SCOLOPENDRA,CETEA LEGENDARY,THE SCOLOPENDRA,"SCOLOPENDRA (Skolopendra) A gargantuan sea-monster with hair extending from its nostrils, a flat crayfish-like tail and rows of webbed feet lining each of its flanks.",null,"Ship-sized sea-monster, hairy nostrils, crayfish-like tail, webbed feet",Sea,null,null,null,null,"THE SKOLOPENDRA (Scolopendra) was gargantuan sea-monster with hairy nostrils, a flat, crayfish-like tail and webbed feet lining its flanks."
DEMETER'S DRACONES,DRACONES MYTHICAL,DEMI-GOD TRIPTOLEMUS,DEMETER'S DRACONES A pair of winged dragons which drew the chariot of goddess Demeter. She gave them to the hero Triptolemos to carry him across the world spreading knowledge of agriculture.,Celeus and Metanira,null,Eleusis,null,Winged chariot,Wheat,"Sowing, milling",TRIPTOLEMOS (Triptolemus) was a demi-god of the Eleusinian mysteries who presided over the sowing of grain-seed and the milling of wheat.
GIGANTOMACHIAN DRACON,DRACONES MYTHICAL,THE GIANT-WAR DRAGON,GIGANTOMACHIAN DRACON (Drakon Gigantomakhios) A dragon which was cast at the goddess Athena during the Giant War. She caught it up and threw it into the sky where it formed the constellation Draco.,null,Giant serpent,Pallene in Thrace,Athena,null,null,null,THE DRAKON GIGANTOMAKHIOS (Dragon of the Giant-War) was a huge serpent thrown at the goddess Athena by the giants. She caught it up and impaled it upon the pole of heaven to form the constellation Draco.
CYCHREIDES,DRACONES MYTHICAL,THE DRAGON CYCHREIDES,CYCHREIDES (Kykhreides) A dragon which terrorized the island of Salamis. It driven out by the hero Cychreus and fled to Eleusis where it became an attendant of the goddess Demeter.,null,Giant serpent,Island of Salamis,Cychreus,null,null,null,THE DRAKON KYKHREIDES (Dragon Cychreides) was a giant serpent which terrorised the island of Salamis. According to some it was slain by King Kykhreus (Cychreus). In other accounts the king raised the beast and it was instead driven from the island by the hero Eurylokhos (Eurylochus). The serpent then swam across the sea to Eleusis where it became a familiar of the goddess Demeter.
CAMPE,DRACAENAE,THE DRACAENA CAMPE,"CAMPE (Kampe) A monstrous she-dragon which guarded the prison-gates of Tartarus. She had the body of a serpent, a hundred serpent ""feet,"" and a scorpion's tale. Campe was slain by Zeus when he rescued the Cyclopes and Hecatoncheires from their prison.",null,"Woman's upper body, serpent's tail, fifty bestial heads, a thousand viper-feet, serpent-hair, scorpion-tail, black-feathered wings",Tartarus,Zeus,null,null,null,KAMPE (Campe) was a monstrous Drakaina (She-Dragon) set by the Titan Kronos (Cronus) to guard the Hekatonkheires and Kyklopes (Cyclopes) trapped in the pit of Tartaros. Zeus slew her and freed the giants from their prison to aid him in his war against the Titanes.
ISMENIAN DRACON,DRACONES MYTHICAL,THE ISMENIAN DRAGON,ISMENIAN DRACON (Drakon Ismenios) A dragon which guarded the sacred spring of Ares near Thebes. It was slain by the hero Cadmus who sowed its teeth in the earth to reap a crop of earth-born warriors.,Ares,Giant serpent,Ismenian Spring in Boeotia,Cadmus,null,null,null,"THE DRAKON ISMENIOS (Ismenian dragon) was a giant serpent which guarded the sacred spring of Ares near Thebes. When the hero Kadmos (Cadmus) arrived seeking to found the city, he slew the monster with a heavy stone. The goddess Athena then instructed him to sow the dragon's teeth, producing a crop of fully-grown, armed warriors called Spartoi (Sparti), five of which became the ancestral lords of Thebes. Ares later avenged his draconic son by transforming Kadmos and his wife into serpents."
RHODIAN DRACONES,DRACONES MYTHICAL,THE RHODIAN DRAGONS,RHODIAN DRACONES (Drakones Rhodioi) Giant serpents and dragons which ravaged the island of Rhodes. They were destroyed by the hero Phorbas.,null,Giant serpents,Island of Rhodes,Phorbas,null,null,null,"THE DRAKONES RHODIOI (Dragons of Rhodes) were giant serpents which terrorised the island of Rhodes. They were slain by the hero Phorbas who, along with the greatest of the serpents, was set amongst the stars as the constellation Ophiochus."
INDIAN CETEA,CETEA LEGENDARY,INDIAN SEA-MONSTERS,INDIAN CETEA (Ketea Indikoi) Fabulous sea-monsters believed to inhabit the Indian Ocean.,null,"Fish-tailed lion, leopard, wolf, ram, etc.",Indian Ocean,null,null,null,null,"THE KETEA INDIKOI (Indian Cetea) were fabulous, multi-formed sea-monsters believed to inhabit the Indian Ocean. They had the foreparts of land animals--such as lions, leopards, rams and wolves--and the serpentine tails of fish."
ETHIOPIAN CETUS,CETEA MYTHICAL,ETHIOPIAN SEA-MONSTER,ETHIOPIAN CETUS (Ketos Aithiopios) A sea-monster sent by Poseidon to ravage the land of the Aethiopians. The king offered ihis daughter Andromeda to it as a sacrifice. But Perseus slew the beast and released the princess from her chains.,null,Monstrous fish or sea-dragon,The Red Sea,Perseus,null,null,null,"THE KETOS AITHIOPIOS (Cetus Aethiopius) was a sea-monster sent by Poseidon to ravage the land of Aithiopia (Ethiopia) as punishment for Queen Kassiopeia's (Cassiopeia's) hubristic boast that her daughter Andromeda was more beautiful than the Nereides. To assuage the wrath of the sea-gods, the girl was chained to a rock as a sacrificial feast for the monster. It was at this time that Perseus was winging his way back to Greece with the head of Medousa (Medusa). He spied the girl, flew down, slew the monster and carried her off as his bride. Some say the hero turned the monster to stone--a rock near the Lebanese town of Joppa frequented by ancient tourists."
CHIMERA,CHIMAERA,THE CHIMERA,"CHIMERA (Khimaira) A three headed monster, with the foreparts of a lion, the hind-parts of a goat and goat's-head rising from its back, and the tail of a headed-serpent.",Typhoeus and Echidna,"Lion's body, three-heads--of a lion, goat and serpent",Mount Cragus in Lycia,Bellerophon,null,null,null,"THE KHIMAIRA (Chimera) was a three-headed monster which ravaged the countryside of Lykia (Lycia) in Anatolia. It was a bizarre fire-breathing creature with the body and head of a lion, a goat's head rising from its back, the udders of a goat, and a serpent for a tail."
TROJAN DRACONES,DRACONES MYTHICAL,THE TROJAN DRAGONS,TROJAN DRACONES (Drakones Troiades) A pair of dragons sent by the god Poseidon to destroy Laocoon of Troy and his sons when he attempted to warn his people of the threat posed by the Wooden Horse.,Typhoeus,Giant sea-serpents,Near Troy in Mysia,null,null,null,null,THE DRAKONES TROIADES (Trojan Dragons) were two huge sea-serpents summoned from the deep by the goddess Athena to slay the Trojan seer Laokoon (Laocoon) when he tried to warn the Trojans of the ruse of the Wooden Horse.
OPHIOGENEAN DRACON,DRACONES MYTHICAL,null,"OPHIOGENEAN DRACON (Drakon Ophiogeneikos) A dragon which guarded the sacred grove of the goddess Artemis in Mysia. It mated with the maiden Halia, producing a son named Ophiogeneis, ancestor of the Ophiogenes tribe.",null,null,null,null,null,null,null,"THE DRAKON OPHIOGENEIKOS (Dragon of the Serpent-Born) was a giant serpent which guarded a sacred grove of the goddess Artemis in north-eastern Mysia. It impregnated a maiden named Halia when she was visiting the shrine and she birthed Ophiogenes ""the Serpent-Born"", ancestor of the Ophiogenees tribe."
HESPERIAN DRACON,DRACONES MYTHICAL,THE HESPERIAN DRAGON,HESPERIAN DRACON (Drakon Hesperios) A hundred-headed dragon which guarded the golden apples of the Hesperides. It was slain by Heracles when he came to fetch the treasure as one of his Twelve Labors.,Phorcys and Ceto,Hundred-headed serpent,Garden of the Hesperides,Heracles,null,null,null,THE DRAKON HESPERION (Hesperian Dragon) was a hundred-headed serpent named Ladon tasked with guarding the golden apples of the Hesperides and tormenting the heavens-bearing Titan Atlas. The creature was slain by Herakles when he was sent to recover the golden apples as one of his twelve labours. It was afterwards placed amongst the stars by the gods as the Constellation Draco encircling the north pole.
TROJAN CETUS,CETEA MYTHICAL,TROJAN SEA-MONSTER,"TROJAN CETUS (Ketos Troios) A sea-monster which plauged the land of the Trojans. King Laomedon chained his daughter to the rocks as a sacrifice to appease the creature, but she was \rescued by Heracles and the creature slain.",Phorcys,Monstrous fish,Hellespont Sea,Heracles,null,null,null,"THE KETOS TROIAS (Trojan Cetus) was a giant sea-monster sent by Poseidon to plague the land of Troy as punishment for King Laomedon's refusal to pay him for the building of the city's walls. An oracle declared that the only way to be rid of the beast was to offer the king's daughter as sacrifice. Laomedon did so, chaining Hesione to the rocks, where she was rescued by Herakles who despatched the beast with a fish-hook or volley of arrows. The creature was probably associated with the constellation Cetus."
MAEONIAN DRACON (2),DRACONES MYTHICAL,THE LYDIAN DRAGON,MAEONIAN DRACON (2) (Drakon Maionios) A monstrous dragon which terrorized the kingdom of Lydia. It was slain by the giant Damasen.,null,Giant serpent,River Hermus in Lydia,Damasen,null,null,null,"THE DRAKON MAIONIOS (Lydian Dragon) was a giant serpent of the River Hermos in Lydia, Anatolia. It was slain by the hero Damasen but its mate used a magical herb to restore it to life."
ETHIOPIAN DRACONES,DRACONES LEGENDARY,THE ETHIOPIAN DRAGON,"ETHIOPIAN DRACONES (Drakones Aithiopikoi) Giant serpents which inhabited the land of Aethiopia (that is, sub-Saharan Africa).",null,Giant serpent,Ethiopia,null,null,null,null,THE DRAKON AITHIOPIKOS (Ethiopian Dragon) was a breed of giant serpent native to the lands of Aithiopia (sub-Saharan Africa).
CETEA,CETEA MYTHICAL,THE SEA-MONSTERS,"CETEA (Ketea) Gigantic, serpentine sea-dragons.",null,"Monstrous fish, whale, shark",The sea,null,null,null,null,"THE KETEA (Cetea) were the monsters of the sea, the two greatest of which were the Ketos (Cetus) slain by Perseus in Aithiopia (Ethiopia) and the Ketos slain by Herakles at Troy."
PYTHON,DRACONES MYTHICAL,THE DRACAENA PYTHON,PYTHON A monstrous dragon which was set by Gaea to guard the oracle of Delphi. It was destroyed by the god Apollo when he seized the shrine.,Gaea,Giant serpent,Delphi in Phocis,Apollo,null,null,null,"PYTHON was a monstrous dragon-serpent set by Gaia (the Earth) to guard the sacred oracle of Delphoi (Delphi). According to some the creature was born from the rotting slime left behind by the Great Deluge. When the god Apollon laid claim to the shrine, he slew Python with a volley of a hundred arrows. The oracle and festival of Delphoi were afterwards named Pytho and Pythian from the rotting (pythô) corpse of the beast. Some say Apollon slew the monster to avenge his mother Leto who had been relentlessly pursued by the dragon during her long pregnancy."
PHRYGIAN DRACONES,DRACONES LEGENDARY,THE PHRYGIAN DRAGON,"PHRYGIAN DRACONES (Drakones Phrygioi) Sixty foot tall dragons found in central Anatolia. They stood upright on their tails in the air, snaring birds with a magical breath.",null,Giant serpent,Phrygia in Anatolia,null,null,null,null,THE DRAKON PHRYGIOS (Phrygian Dragon) was a breed of giant serpent thought to inhabit the Phrygian highlands of central Anatolia. During the day they stood on the tips of their tails attracting birds with their magical breath and at night they ambushed shepherds returning from the hills with their flocks.
HYDRA,DRACONES MYTHICAL,THE LERNAEAN HYDRA,"HYDRA A nine headed water-dragon which guarded the springs of Lerna. It possessed the power of regeneration, producing two new heads for each that was decapitated. The creature was eventually destroyed by Heracles who cauterized its neck stumps with a flaming torch.",Typhoeus and Echidna,Nine-headed serpent,Spring of Lerna in Argolis,Heracles,null,null,null,"HYDRA LERNAIA (Lernaean Hydra) was a gigantic, nine-headed water-serpent, which haunted the swamps of Lerna. Herakles (Heracles) was sent to destroy her as one of his twelve labours, but for each of her heads that he decapitated, two more sprang forth. So with the help of Iolaos (Iolaus), he applied burning brands to the severed stumps, cauterizing the wounds and preventing the regeneration. In the battle he also crushed a giant crab beneath his heel which had come to assist the Hydra.
The Hydra and the Crab were afterwards placed amongst the stars by Hera as the Constellations Hydra and Cancer."
MAEONIAN DRACON (1),DRACONES MYTHICAL,THE LYDIAN DRAGON,MAEONIAN DRACON (1) (Drakon Maionios) A dragon which ravaged the kingdom of Lydia. It was slain by Heracles when he was in the service of Queen Omphale.,null,Giant serpent,River Sagaris in Lydia,Heracles,null,null,null,THE DRAKON MAIONIOS (Lydian Dragon) was a giant serpent which ravaged the Anatolian kingdom of Lydia (Maionia). It was slain by Herakles in the service of Queen Omphale. The hero's victory was afterwards memorialised amongst the stars as the constellation Ophiochus.
SCYTHIAN DRACAENA,DRACAENAE,THE DRACAENA SCYTHIA,"SCYTHIAN DRACAENA (Drakaina Skythia) The Dracaena queen of Scythia in north-eastern Europe (now, the Ukraine). She stole the cattle of Geryon which Heracles was herding through the region and agreed to return them on condition he mate with her.",null,"Woman's upper body, serpent's tail",Scythia,null,null,null,null,"THE DRAKAINA SKYTHIA (Scythian Dracaena) was the first ruler of the land of Skythia. She was a woman from the waist up with the tail of a serpent in place of legs. When Herakles was travelling through her realm with the cattle of Geryon, she stole some of the herd and insisted the hero mate with her before she would return them. He did so and through her became the ancestor of a line of Skythian kings."
INDIAN DRACONES,DRACONES LEGENDARY,THE INDIAN DRAGON,INDIAN DRACONES (Drakones Indikoi) Dragons found in the hills and mountains of India. They devoured elephants and were destroyed by Indian dragon-slayers with the aid of magic.,null,Giant serpent,India,null,null,null,null,"THE DRAKON INDIKOS (Indian Dragon) was a breed of giant, toothed serpent which preyed on the elephants of India."
POENE,DRACAENAE,THE DRACAENA POENA,POENE (Poine) A she-dragon sent by Apollo to ravage the kingdom of Argos as punishment for the death of his infant son Linos. It was slain by the hero Coraebus.,null,"Woman's upper body, serpent's tail",Argos,Coroebus,null,null,null,POINE (Poene) was a monstrous Drakaina (She-Dragon) summoned from the underworld by the god Apollon to punish the Argives for the cruel death of his infant son Linos. She was eventually slain by the hero Koroibos (Coroebus).
ECHIDNA ARGIA,DRACAENAE,THE DRACAENA ECHIDNA,ECHIDNA ARGIA (Ekhidna Argia) A she-dragon which ravaged the kgindom of Argos. It was slain by the hundred-eyed giant Argos Panoptes.,Peiras and Styx,"Woman's upper body, serpent's tail",Argos and Arcadia,Argus Panoptes,null,null,null,"EKHIDNA ARGIA (Argive Echidna) was a Drakaina (She-Dragon) with the upper body of a woman and the tail of a serpent who murdered travellers throughout the lands of Argos and Arkadia. She was eventually slain by the hundred-eyed giant Argos Panoptes. Ekhidna's parents were Peiras, a son of the king of Argos, and Styx, the nymphe of a poisonous Arkadian stream."
CETO,DRACAENAE,THE GODDESS CETO,"CETO (Keto) A monstrous marine goddess with the body of a sea-dragon in place of legs. She spawned Echidna, the Hesperian dragon and other monsters.",Pontus and Gaea,null,The sea,null,null,null,null,"KETO (Ceto) was the goddess of the dangers of the sea and, more specifically, of sea-monsters, whales and large sharks (all called ketea in Greek). She consorted with her brother Phorkys (Phorcys) to produced a brood of fearsome monsters including--the she-dragon Ekhidna (viper), sailor-devouring Skylla (crab), the hundred-headed serpent Ladon, the one-eyed Graiai (grey ones), and the petrifying Gorgones (terrible ones)."
